id,grupo,asignatura,profesor,dia,hora_inicio,hora_fin,salon
118,6407,TEORIA Y TECNICA DE LA ENTREVIS. II,YUSSIF ROFFE DALILA,MIERCOLES,10:00,14:00,A 308
119,6408,PSICODIAGNOSTICO II,ARENAS LANDGRAVE PAULINA,MIERCOLES,15:00,18:00,A 002
120,6409,EPIDEMIOLOGIA Y SALUD PUBLICA,PROFESOR PENDIENTE,MIERCOLES,09:00,12:00,B 07
121,6409,PSICODIAGNOSTICO II,CHAPA ROMERO ANA CELIA,MIERCOLES,12:00,15:00,B 17
122,6410,PSICODIAGNOSTICO II,RUÍZ GONZÁLEZ VERÓNICA,MIERCOLES,08:00,11:00,A 201
123,6410,TEORIA Y TECNICA DE LA ENTREVIS. II,ESPINOZA SALGADO FATIMA SAGRARIO,MIERCOLES,16:00,20:00,A 109
124,6412,PSICODIAGNOSTICO II,CABRERA ZAMORA INGRID MARISSA,MIERCOLES,15:00,18:00,A 207
125,6413,TEORIA Y TECNICA DE LA ENTREVIS. II,REYES GONZALEZ JOSE LUIS,MIERCOLES,16:00,20:00,A 110
126,6501,INVESTIG.CUANTITATIVA EN EDUCACION,ALATORRE RICO JAVIER,MIERCOLES,10:00,13:00,A 203
127,6503,PARADIGMAS PSICOEDUC.CONTEMPORAN,MARTINEZ ROMERO RINA MARIA,MIERCOLES,11:30,14:30,AULA PENDIENTE
128,6601,INTEGRACION DE PERSONAL I,PACHECO LAPIEDRA ROSA,MIERCOLES,09:00,12:00,A 207
129,6602,INTEGRACION DE PERSONAL I,PACHECO LAPIEDRA ROSA,MIERCOLES,12:00,15:00,A 110
130,6603,CAPACITAC.Y DESARR.DE PERSONAL II,MARTINEZ PEREZ ADRIANA GUADALUPE,MIERCOLES,10:00,13:00,A 205
131,6604,CAPACITAC.Y DESARR.DE PERSONAL II,SOUZA COLIN ERIKA,MIERCOLES,12:00,15:00,B 07
132,6607,CAPACITAC.Y DESARR.DE PERSONAL II,SOUZA COLIN ERIKA,MIERCOLES,16:00,19:00,A 205
133,6703,ETICA PROFESIONAL,LOZADA VAZQUEZ RICARDO ALBERTO,MIERCOLES,10:00,12:00,A 206
134,6703,APORTES DESDE EPISTEM. FEMINIST. PSIC.,TZOMPANTZI MIGUEL CLAUDIO ARTURO,MIERCOLES,12:00,15:00,A 206
135,6705,ETICA PROFESIONAL,PROFESOR PENDIENTE,MIERCOLES,13:00,15:00,A 107
136,6705,APORTES DESDE EPISTEM. FEMINIST. PSIC.,PROFESOR PENDIENTE,MIERCOLES,10:00,13:00,A 210
137,6713,ETICA PROFESIONAL,PROFESOR PENDIENTE,MIERCOLES,15:00,17:00,A 108
138,6713,APORTES DESDE EPISTEM. FEMINIST. PSIC.,RODRIGUEZ SERRANO AIDEE ELENA,MIERCOLES,17:00,20:00,A 108
139,6102,"APRENDIZAJE,MOTIVAC.Y COGNIC. II",REYES CONTRERAS RAUL,JUEVES,15:00,17:30,URIDES 3 Edif C
140,6102,INVESTIGAC.Y ANALISIS DE DATOS II,SANCHEZ CARRASCO LIVIA,JUEVES,08:00,10:00,B 12
